experiment,displacement_cm,release,start_time_s,end_time_s,quality_score,selected,period_s,frequency_peaks_hz,frequency_fft_hz,logarithmic_decrement,damping_ratio,number_of_peaks,sample_rate_hz
E01_10mm,1.0,3,0.0,11.990137695313052,95.194591342426,True,0.13821484375000637,7.235112907328045,7.2455231417270785,0.024163372945757773,0.0038456918081425013,86,57.88090325862436
E02_15mm,1.5,1,0.0,11.989968261711237,95.63661243700233,True,0.1382128906249136,7.23521514873624,7.2456255302452135,0.026572222446233768,0.004229062732414806,87,57.88172118988992
E03_20mm,2.0,3,0.0,11.989968261716179,96.84853212503637,True,0.13821289062497044,7.235215148733265,7.245625530242234,0.01602558066730113,0.0025505420831024466,86,57.88172118986612
E04_25mm,2.5,1,0.0,11.989968261716186,96.20076220662403,True,0.13821289062497044,7.235215148733265,7.245625530242234,0.021861582946750998,0.0034793579291631355,86,57.88172118986612
E05_30mm,3.0,1,0.0,11.990307128900056,95.10756551584926,True,0.1382167968749286,7.235010668818298,7.245420756111562,0.028299551914894125,0.004503967890715079,85,57.88008535054638
