model,length_m,width_m,thickness_m,inertia_m4,stiffness_n_m,free_beam_mass_kg,equivalent_mass_kg,natural_angular_frequency_rad_s,natural_frequency_hz,error_vs_experimental_percent
Nominal,0.2,0.038,0.002,2.5333333333333336e-11,1899.9999999999998,0.11932000000000001,0.23815951999999999,89.31878922822484,14.21552681665512,96.19627436793812
Calibrated,0.2,0.038,0.0012571925614252577,6.292275923942728e-12,471.9206942957045,0.07500410821463088,0.22770096953865288,45.52522188114245,7.245564097739135,3.515417209296046e-10
