experiment,displacement_cm,rmse_m_s2,normalized_rmse
E01_10mm,1.0,0.16985958701965684,0.12119651123497356
E02_15mm,1.5,0.5496416142378826,0.17933974783707002
E03_20mm,2.0,0.7876588317734206,0.305290866364458
E04_25mm,2.5,0.4549832550171738,0.16127720786541647
E05_30mm,3.0,0.6150045567365322,0.1448178550038019
