time,seconds_elapsed,z,y,x
1779997442573517300,0.265517333984375,348.07501220703125,-103.96875762939453,27.356250762939453
1779997442593833500,0.28583349609375,348.0375061035156,-103.96875762939453,27.337501525878906
1779997442614024000,0.30602392578125,348.1875,-103.96875762939453,27.318750381469727
1779997442634281500,0.326281494140625,348.2062683105469,-103.96875762939453,27.281251907348633
1779997442654385000,0.346385009765625,348.2250061035156,-103.95000457763672,27.262500762939453
1779997442674046500,0.36604638671875,348.2437744140625,-103.9312515258789,27.262500762939453
1779997442758524200,0.450524169921875,348.1875,-103.9312515258789,27.225000381469727
1779997442854924500,0.546924560546875,348.1125183105469,-103.9312515258789,27.131250381469727
1779997443040267800,0.732267822265625,348.2250061035156,-103.85625457763672,27.01875114440918
1779997443086572800,0.77857275390625,348.35626220703125,-103.85625457763672,27.000001907348633
1779997443132848000,0.82484814453125,348.4125061035156,-103.85625457763672,26.962501525878906
1779997443179079400,0.871079345703125,348.3375244140625,-103.8375015258789,26.92500114440918
1779997443225249500,0.91724951171875,348.4125061035156,-103.81875610351562,26.906251907348633
1779997443271335700,0.963335693359375,348.26251220703125,-103.81875610351562,26.887500762939453
1779997443317311200,1.009311279296875,348.3000183105469,-103.81875610351562,26.906251907348633
1779997443363144700,1.055144775390625,348.3000183105469,-103.8375015258789,26.887500762939453
1779997443408798700,1.100798828125,348.4125061035156,-103.85625457763672,26.868751525878906
1779997443454230000,1.14622998046875,348.5250244140625,-103.85625457763672,26.887500762939453
1779997443499390200,1.19139013671875,348.6187744140625,-103.85625457763672,26.887500762939453
1779997443544225500,1.2362255859375,348.7875061035156,-103.85625457763672,26.906251907348633
1779997443588673500,1.280673583984375,348.8812561035156,-103.87500762939453,26.906251907348633
1779997443632669400,1.32466943359375,348.9000244140625,-103.89375305175781,26.92500114440918
1779997443676486000,1.36848583984375,348.9000244140625,-103.9312515258789,26.906251907348633
1779997443762280700,1.45428076171875,348.75,-103.96875762939453,26.887500762939453
1779997443804002300,1.496002197265625,348.7687683105469,-103.96875762939453,26.887500762939453
1779997443884581000,1.5765810546875,348.9750061035156,-103.98750305175781,26.92500114440918
1779997443923193900,1.61519384765625,349.0500183105469,-103.98750305175781,26.92500114440918
1779997443960652300,1.65265234375,348.9375,-104.00625610351562,26.92500114440918
1779997443996856000,1.68885595703125,348.8062744140625,-103.98750305175781,26.962501525878906
1779997444031718100,1.72371826171875,348.6187744140625,-104.00625610351562,26.981250762939453
1779997444065145900,1.757145751953125,348.5250244140625,-104.0250015258789,27.01875114440918
1779997444097050000,1.789050048828125,348.46875,-104.0250015258789,27.037500381469727
1779997444127364400,1.8193642578125,348.375,-104.04375457763672,27.056251525878906
1779997444156015600,1.848015625,348.28125,-104.06250762939453,27.093751907348633
1779997444182944300,1.8749443359375,348.3187561035156,-104.06250762939453,27.131250381469727
1779997444208110000,1.900110107421875,348.3937683105469,-104.08125305175781,27.168750762939453
1779997444231477000,1.92347705078125,348.26251220703125,-104.1187515258789,27.20625114440918
1779997444253016000,1.94501611328125,348.28125,-104.1187515258789,27.262500762939453
1779997444272733400,1.9647333984375,348.3375244140625,-104.13750457763672,27.281251907348633
1779997444290644200,1.982644287109375,348.1125183105469,-104.13750457763672,27.318750381469727
1779997444306756000,1.998756103515625,348,-104.15625762939453,27.337501525878906
1779997444321115600,2.01311572265625,348,-104.17500305175781,27.356250762939453
1779997444333783000,2.025782958984375,348.07501220703125,-104.19375610351562,27.375001907348633
1779997444344806100,2.03680615234375,348.1875,-104.2125015258789,27.375001907348633
1779997444362244400,2.054244384765625,348.35626220703125,-104.23125457763672,27.356250762939453
1779997444374172700,2.066172607421875,348.375,-104.25000762939453,27.337501525878906
1779997444384902400,2.07690234375,348.3187561035156,-104.23125457763672,27.262500762939453
1779997444394760700,2.0867607421875,336.375,-100.68750762939453,26.26875114440918
1779997444407950300,2.099950439453125,345.6937561035156,-104.10000610351562,28.125001907348633
1779997444432779300,2.124779296875,321.9000244140625,-97.01250457763672,26.475000381469727
1779997444444958000,2.1369580078125,321.63751220703125,-96.9937515258789,26.55000114440918
1779997444459111700,2.151111572265625,321.46875,-96.95625305175781,26.625001907348633
1779997444475189500,2.167189453125,321.35626220703125,-96.93750762939453,26.64375114440918
1779997444493130800,2.185130859375,321.7687683105469,-96.91875457763672,26.625001907348633
1779997444502779000,2.19477880859375,321.7687683105469,-96.93750762939453,26.568750381469727
1779997444512867300,2.204867431640625,321.9562683105469,-96.93750762939453,26.55000114440918
1779997444523387000,2.215386962890625,322.10626220703125,-96.9000015258789,26.55000114440918
1779997444534327300,2.226327392578125,333.6000061035156,-100.3687515258789,27.506250381469727
1779997444545680000,2.237679931640625,344.98126220703125,-103.85625457763672,28.500001907348633
1779997444557435400,2.249435302734375,344.88751220703125,-103.91250610351562,28.556251525878906
1779997444569600800,2.261600830078125,344.8312683105469,-103.96875762939453,28.593751907348633
1779997444584093200,2.27609326171875,344.7375183105469,-103.96875762939453,28.61250114440918
1779997444604887000,2.296886962890625,344.71875,-103.96875762939453,28.631250381469727
1779997444628772400,2.3207724609375,344.6625061035156,-103.98750305175781,28.650001525878906
1779997444651814100,2.343814208984375,344.5687561035156,-103.98750305175781,28.650001525878906
1779997444673694200,2.365694091796875,344.6812744140625,-103.98750305175781,28.631250381469727
1779997444694483500,2.3864833984375,344.7562561035156,-103.98750305175781,28.61250114440918
1779997444714446000,2.406446044921875,344.71875,-103.98750305175781,28.593751907348633
1779997444734208000,2.4262080078125,344.70001220703125,-104.00625610351562,28.575000762939453
1779997444754213000,2.446213134765625,344.70001220703125,-103.98750305175781,28.593751907348633
1779997444774163500,2.46616357421875,344.53125,-103.98750305175781,28.61250114440918
1779997444793831200,2.4858310546875,344.4750061035156,-103.98750305175781,28.61250114440918
1779997444813894400,2.505894287109375,344.4562683105469,-103.96875762939453,28.61250114440918
1779997444833684000,2.52568408203125,344.5687561035156,-103.98750305175781,28.593751907348633
1779997444853562600,2.545562744140625,344.71875,-103.96875762939453,28.575000762939453
1779997444873777200,2.565777099609375,344.71875,-103.98750305175781,28.575000762939453
1779997444893656000,2.585656005859375,344.8500061035156,-103.98750305175781,28.593751907348633
1779997444913577700,2.60557763671875,344.79376220703125,-103.96875762939453,28.61250114440918
1779997444933551900,2.6255517578125,344.7750244140625,-103.95000457763672,28.631250381469727
1779997444953802800,2.645802734375,344.7562561035156,-103.95000457763672,28.650001525878906
1779997444974145800,2.666145751953125,344.7375183105469,-103.9312515258789,28.650001525878906
1779997444994050800,2.68605078125,344.8500061035156,-103.9312515258789,28.631250381469727
1779997445013962000,2.7059619140625,344.8500061035156,-103.95000457763672,28.61250114440918
1779997445033695200,2.7256953125,344.7375183105469,-103.9312515258789,28.61250114440918
1779997445053557800,2.745557861328125,344.79376220703125,-103.91250610351562,28.631250381469727
1779997445073681700,2.765681640625,344.6812744140625,-103.91250610351562,28.650001525878906
1779997445093591600,2.785591552734375,344.70001220703125,-103.91250610351562,28.650001525878906
1779997445113815000,2.80581494140625,344.8687744140625,-103.9312515258789,28.631250381469727
1779997445133880600,2.825880615234375,344.8500061035156,-103.89375305175781,28.61250114440918
1779997445153705700,2.845705810546875,344.8687744140625,-103.91250610351562,28.631250381469727
1779997445173858800,2.86585888671875,344.8312683105469,-103.87500762939453,28.650001525878906
1779997445194209500,2.88620947265625,344.6812744140625,-103.87500762939453,28.668750762939453
1779997445213860400,2.9058603515625,344.60626220703125,-103.89375305175781,28.687501907348633
1779997445233646800,2.925646728515625,344.60626220703125,-103.89375305175781,28.687501907348633
1779997445253763800,2.945763916015625,344.6812744140625,-103.87500762939453,28.668750762939453
1779997445273765000,2.96576513671875,344.6812744140625,-103.89375305175781,28.650001525878906
1779997445293818000,2.985818115234375,344.6625061035156,-103.91250610351562,28.61250114440918
1779997445313907700,3.00590771484375,344.6812744140625,-103.89375305175781,28.631250381469727
1779997445333907000,3.025906982421875,344.7562561035156,-103.89375305175781,28.650001525878906
1779997445353681700,3.045681640625,344.70001220703125,-103.91250610351562,28.668750762939453
1779997445373825300,3.0658251953125,344.88751220703125,-103.9312515258789,28.650001525878906
1779997445393663500,3.08566357421875,344.9250183105469,-103.9312515258789,28.631250381469727
1779997445413566500,3.10556640625,344.7562561035156,-103.9312515258789,28.61250114440918
1779997445433538000,3.1255380859375,344.7562561035156,-103.96875762939453,28.593751907348633
1779997445453711600,3.145711669921875,344.5687561035156,-103.95000457763672,28.575000762939453
1779997445473603600,3.165603515625,344.51251220703125,-103.96875762939453,28.593751907348633
