time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1779999119222349600,0.399349609375,0.2066749930381775,0.09770099818706512,-0.02553899958729744,0.9731839895248413,0.20210035145282745,0.009323720820248127,-0.41946694254875183
1779999119239626200,0.416626220703125,0.20158299803733826,0.09877300262451172,-0.025265000760555267,0.9741500020027161,0.20404736697673798,0.009402022697031498,-0.40906623005867004
1779999119256903000,0.43390283203125,0.20085500180721283,0.09737999737262726,-0.025064999237656593,0.9744459986686707,0.20121648907661438,0.009730608202517033,-0.40753254294395447
1779999119274179600,0.4511796875,0.20134299993515015,0.09798400104045868,-0.02434599958360195,0.9743030071258545,0.20211569964885712,0.007984059862792492,-0.4083787202835083
1779999119291455700,0.468455810546875,0.20224900543689728,0.09967599809169769,-0.02449899911880493,0.9739400148391724,0.20551593601703644,0.007402435410767794,-0.410264253616333
1779999119308732400,0.485732421875,0.20176799595355988,0.09900200366973877,-0.024992000311613083,0.9740960001945496,0.20438788831233978,0.008738457225263119,-0.40938642621040344
1779999119326009000,0.503009033203125,0.20087799429893494,0.09814800322055817,-0.026936000213027,0.9743139743804932,0.20349441468715668,0.013057062402367592,-0.4079820215702057
1779999119343285800,0.52028564453125,0.2014400064945221,0.09881199896335602,-0.025282999500632286,0.974174976348877,0.2041301280260086,0.00945089291781187,-0.4087798297405243
1779999119360562200,0.537562255859375,0.19971700012683868,0.09932900220155716,-0.02463199943304062,0.9744939804077148,0.20486702024936676,0.008332185447216034,-0.40514618158340454
1779999119377838800,0.5548388671875,0.2029310017824173,0.0989380031824112,-0.025798000395298004,0.9738399982452393,0.20460493862628937,0.010091245174407959,-0.4119204580783844
1779999119395115500,0.572115478515625,0.20294499397277832,0.09888999909162521,-0.025901999324560165,0.9738389849662781,0.2045535445213318,0.010310474783182144,-0.41197043657302856
1779999119412392000,0.589391845703125,0.20295000076293945,0.09885500371456146,-0.025929000228643417,0.9738410115242004,0.20449593663215637,0.01037638634443283,-0.4119861125946045
1779999119429668600,0.606668701171875,0.20294299721717834,0.09900300204753876,-0.02589399926364422,0.9738280177116394,0.20477257668972015,0.010248851962387562,-0.4119657576084137
1779999119446945000,0.623945068359375,0.20291799306869507,0.09928199648857117,-0.02575499936938286,0.9738079905509949,0.20526380836963654,0.009868800640106201,-0.4118877649307251
1779999119464221700,0.6412216796875,0.20288200676441193,0.09958299994468689,-0.025635000318288803,0.9737880229949951,0.20580627024173737,0.009519057348370552,-0.41179174184799194
1779999119481498400,0.658498291015625,0.20284399390220642,0.10000699758529663,-0.02545199915766716,0.9737579822540283,0.20656494796276093,0.008996659889817238,-0.41167929768562317
1779999119498774800,0.67577490234375,0.20279599726200104,0.10072000324726105,-0.02512199990451336,0.9737030267715454,0.2078317105770111,0.008071595802903175,-0.41151663661003113
