time,seconds_elapsed,magneticBearing
1779999119135104000,0.31210400390625,342.6582249687407
1779999119155372500,0.33237255859375,342.3513519469268
1779999119175741200,0.3527412109375,342.383813920462
1779999119195943200,0.372943115234375,342.4487762107713
1779999119215729000,0.39272900390625,342.4915288057375
1779999119271915000,0.4489150390625,342.5444634260417
1779999119374231000,0.55123095703125,342.7047944126347
1779999119505729500,0.6827294921875,342.93714310393983
1779999119549552000,0.72655224609375,343.0316560087933
1779999119593361200,0.770361083984375,343.06403730546
1779999119637148700,0.814148681640625,343.14846879346396
1779999119680903200,0.857903076171875,343.22300840039003
1779999119724610300,0.9016103515625,343.26513595373916
1779999119768252200,0.945252197265625,343.37199133904517
1779999119811806000,0.988805908203125,343.4043871570684
1779999119855246000,1.03224609375,343.4236793979197
1779999119898540800,1.075540771484375,343.48844028164604
1779999119941653000,1.118653076171875,343.5112469404748
1779999119984543000,1.16154296875,343.5016450297605
1779999120027163000,1.204162841796875,343.49203321924534
1779999120069690400,1.2466904296875,343.4499458317725
1779999120194729500,1.3717294921875,343.3365197919112
1779999120314133500,1.491133544921875,343.2390106844571
1779999120352345300,1.529345458984375,343.18690601481853
1779999120389643000,1.56664306640625,343.18690601481853
1779999120425936000,1.602935791015625,343.1642361706101
1779999120461134800,1.638134765625,343.07955027082704
1779999120495157000,1.672156982421875,342.9721832409126
1779999120527923700,1.704923828125,342.87480910358113
1779999120559348000,1.736347900390625,342.8423731267331
1779999120589366500,1.766366455078125,342.7999131164367
1779999120617915000,1.794914794921875,342.7473488585522
1779999120644923000,1.8219228515625,342.77981030146236
1779999120670355200,1.847355224609375,342.7473488585522
1779999120694176500,1.871176513671875,342.7047944126347
1779999120716355600,1.89335546875,342.7047944126347
1779999120736893400,1.9138935546875,342.6946812150266
1779999120755784400,1.932784423828125,342.6622077762253
1779999120774231000,1.95123095703125,342.6195868982123
1779999120808115000,1.985114990234375,342.5565261081663
1779999120844645000,2.02164501953125,342.5155723950943
1779999120860515600,2.037515625,342.5053040583142
1779999120871763000,2.048762939453125,342.5053040583142
1779999120882758700,2.059758544921875,342.47271716726834
1779999120895055400,2.072055419921875,342.35283171898834
1779999120905561900,2.082561767578125,340.6674022248181
1779999120917127700,2.094127685546875,340.42896382252667
1779999120949880000,2.126880126953125,340.5840196221591
1779999120969907700,2.14690771484375,340.438032287835
1779999120983912400,2.160912353515625,340.438032287835
1779999120999730700,2.176730712890625,340.4694220756569
1779999121017319700,2.194319580078125,340.4988624811584
1779999121036626400,2.21362646484375,340.44712418240505
1779999121046905000,2.223905029296875,340.4066547167291
1779999121057589800,2.23458984375,340.3238019989911
1779999121068672800,2.2456728515625,340.3036971341728
1779999121080145700,2.257145751953125,340.32607689760914
1779999121091999500,2.26899951171875,340.3573458452671
1779999121104246500,2.28124658203125,340.40877909188015
1779999121116855000,2.29385498046875,340.39762843852657
1779999121129798000,2.3067978515625,340.35512631108503
1779999121145219000,2.322218994140625,340.3349958792084
1779999121166939600,2.343939697265625,340.3774708515047
1779999121190980600,2.367980712890625,340.3573458452671
1779999121214366200,2.3913662109375,340.38862538805387
1779999121236086800,2.413086669921875,340.36850197188505
1779999121256535300,2.433535400390625,340.3886253880538
1779999121276409600,2.45340966796875,340.39976661565606
1779999121296177200,2.47317724609375,340.3886253880538
1779999121315693600,2.492693603515625,340.4512241682764
1779999121335349800,2.512349853515625,340.4825417918166
1779999121355483100,2.532483154296875,340.4825417918166
1779999121375313700,2.552313720703125,340.4936382056455
1779999121395170800,2.5721708984375,340.46233553909747
1779999121415101000,2.592100830078125,340.43104500523384
1779999121435095000,2.612094970703125,340.410895688639
1779999121455365400,2.632365478515625,340.39976661565606
1779999121475256000,2.652256103515625,340.4512241682763
1779999121495240700,2.67224072265625,340.4603113965228
1779999121515442700,2.692442626953125,340.42896382252667
1779999121535294500,2.71229443359375,340.42896382252667
1779999121555293700,2.732293701171875,340.3349958792084
1779999121575196700,2.75219677734375,340.3238019989911
1779999121595145700,2.772145751953125,340.35512631108503
1779999121615594800,2.7925947265625,340.3864644485749
1779999121635369000,2.812368896484375,340.4066547167291
1779999121655486200,2.832486328125,340.39548239942485
1779999121675485700,2.852485595703125,340.36410206066495
1779999121695321600,2.872321533203125,340.3327339812057
1779999121715440600,2.892440673828125,340.35290134930113
1779999121735261400,2.912261474609375,340.4157043122186
1779999121755255000,2.932255126953125,340.4582798082128
1779999121775371500,2.95237158203125,340.4785546970962
1779999121795224800,2.972224853515625,340.4582798082128
1779999121815350500,2.9923505859375,340.4157043122186
1779999121835485200,3.012485107421875,340.4157043122186
1779999121855293000,3.03229296875,340.42687498583655
1779999121875361300,3.052361328125,340.4157043122186
1779999121895218200,3.07221826171875,340.4785546970962
1779999121915137000,3.092136962890625,340.46740303968846
1779999121935527400,3.11252734375,340.46740303968846
1779999121955814000,3.13281396484375,340.46740303968846
1779999121975666700,3.152666748046875,340.4359574484344
1779999121995850500,3.1728505859375,340.4359574484344
1779999122015436500,3.1924365234375,340.4359574484344
1779999122035198200,3.2121982421875,340.4359574484344
1779999122055425300,3.23242529296875,340.3821209562535
1779999122075246300,3.252246337890625,340.36188960998305
1779999122095150000,3.272150146484375,340.3192277460373
1779999122115318800,3.29231884765625,340.2676519707417
1779999122135204400,3.312204345703125,340.22498208225164
1779999122155418000,3.332418212890625,340.2563854803286
1779999122175478500,3.352478515625,340.2563854803286
1779999122195324200,3.37232421875,340.23626355707603
1779999122215203000,3.392203125,340.2475338268117
1779999122235135200,3.41213525390625,340.2274444534234
1779999122255112000,3.43211181640625,340.2274444534234
1779999122275324200,3.45232421875,340.20738608063846
1779999122295223800,3.472223876953125,340.20738608063846
1779999122315529700,3.49252978515625,340.23870500780276
1779999122335332600,3.51233251953125,340.28126842560465
1779999122355210200,3.532210205078125,340.29248833724563
1779999122375384800,3.552384765625,340.3238019989911
1779999122395239000,3.572239013671875,340.36630525614777
1779999122415159000,3.592158935546875,340.40877909188015
1779999122435373300,3.612373291015625,340.4512241682764
1779999122455567400,3.6325673828125,340.4512241682763
1779999122475347000,3.652346923828125,340.4825417918166
1779999122495673900,3.672673828125,340.4400995147276
1779999122515478800,3.692478759765625,340.4400995147276
1779999122535256300,3.71225634765625,340.42896382252667
1779999122555151600,3.732151611328125,340.42896382252667
1779999122575300600,3.752300537109375,340.44917737435355
1779999122595393000,3.77239306640625,340.4694220756569
1779999122615504100,3.792504150390625,340.4582798082128
1779999122635297000,3.812297119140625,340.4582798082128
1779999122655440000,3.83243994140625,340.4582798082128
1779999122675270400,3.8522705078125,340.39548239942485
1779999122695381800,3.8723818359375,340.3752893740188
1779999122715223300,3.892223388671875,340.3327339812057
1779999122735151900,3.91215185546875,340.3327339812057
1779999122755387000,3.932386962890625,340.3327339812057
1779999122775270000,3.952269775390625,340.3327339812057
1779999122795186700,3.972186767578125,340.30137976716793
1779999122815407900,3.992407958984375,340.2587906180589
1779999122835278800,4.01227880859375,340.23870500780276
1779999122855654400,4.032654296875,340.2274444534234
1779999122875592200,4.05259228515625,340.2587906180589
1779999122895486700,4.07248681640625,340.3125970140603
1779999122915724300,4.092724365234375,340.35512631108503
1779999122935392500,4.112392578125,340.34393627134494
1779999122955192000,4.132192138671875,340.35512631108503
1779999122975094000,4.152093994140625,340.3125970140603
1779999122995078000,4.172077880859375,340.3752893740188
1779999123015176200,4.19217626953125,340.4178148068754
1779999123035153400,4.2121533203125,340.44917737435355
1779999123055348200,4.23234814453125,340.4805521393378
1779999123075440400,4.2524404296875,340.4694220756569
