time,seconds_elapsed,z,y,x
1779996508482256100,0.239256103515625,-0.09264999628067017,0.06190900132060051,-0.6731629967689514
1779996508499532500,0.256532470703125,0.21170899271965027,0.02355399914085865,-0.4667370021343231
1779996508516809000,0.27380908203125,0.18303200602531433,0.025908999145030975,-0.30973801016807556
1779996508534085000,0.291085205078125,0.10405799746513367,0.019058000296354294,-0.1987680047750473
1779996508551361500,0.308361572265625,0.045065999031066895,0.011725000105798244,-0.12610100209712982
1779996508568637700,0.3256376953125,0.009469999931752682,0.0058570001274347305,-0.077845998108387
1779996508585914000,0.3429140625,-0.008678999729454517,0.0032889998983591795,-0.04746000096201897
1779996508603190300,0.360190185546875,-0.02559100091457367,0.004222999792546034,-0.02824299968779087
1779996508620466700,0.377466796875,-0.03987300023436546,0.0022430000826716423,-0.01573999971151352
1779996508637742800,0.394742919921875,-0.053939998149871826,0.0014230000087991357,-0.007317000068724155
1779996508655019300,0.412019287109375,-0.05242700129747391,-0.00007100000220816582,-0.0012240000069141388
1779996508672295700,0.429295654296875,-0.04549799859523773,-0.001538999960757792,0.0015770000172778964
1779996508689571800,0.44657177734375,-0.041829001158475876,-0.00033400001120753586,0.0015579999890178442
1779996508706848300,0.46384814453125,-0.040414001792669296,-0.0005450000171549618,0.0014690000098198652
1779996508732762600,0.4897626953125,-0.042403001338243484,-0.0021909999195486307,0.0019509999547153711
1779996508750039000,0.5070390625,-0.04708399996161461,-0.003226999891921878,0.0027799999807029963
1779996508767315200,0.524315185546875,-0.04142799973487854,-0.0016060000052675605,0.00279999990016222
1779996508784591600,0.541591552734375,-0.034171998500823975,0.000299000006634742,0.0038590000476688147
1779996508801867800,0.55886767578125,-0.02072099968791008,-0.0006500000017695129,0.003911999985575676
1779996508819144200,0.576144287109375,-0.009816999547183514,-0.003976999782025814,0.004265000112354755
1779996508836420400,0.59342041015625,-0.0071390001103281975,-0.0016639999812468886,0.003763000015169382
1779996508853696800,0.61069677734375,-0.0030360000673681498,-0.0011289999820291996,0.004131000023335218
1779996508870973000,0.627972900390625,-0.0037930000107735395,-0.0019729998894035816,0.0031030001118779182
1779996508888249300,0.645249267578125,0.006849000230431557,-0.002245000097900629,0.001908999984152615
1779996508905525800,0.66252587890625,0.009844999760389328,-0.001883000019006431,0.0009790000040084124
1779996508922802000,0.679802001953125,0.0020129999611526728,0.00015900000289548188,0.00048600000445730984
1779996508940078300,0.697078369140625,-0.005807000212371349,-0.00045900000259280205,0.001996000064536929
1779996508957354500,0.7143544921875,-0.010226000100374222,-0.002386000007390976,0.003229999914765358
1779996508974631000,0.731630859375,-0.012516999617218971,-0.0003150000120513141,0.003329999977722764
1779996508991907000,0.748906982421875,-0.0058280001394450665,0.00011700000322889537,0.00266700005158782
1779996509009183500,0.76618359375,0.006632999982684851,0.0007769999792799354,0.0011070000473409891
1779996509026460000,0.7834599609375,0.002919000107795,-0.0026289999950677156,0.0010779999429360032
1779996509043736000,0.800736083984375,-0.0035669999197125435,-0.005090000107884407,0.0018390000332146883
1779996509061012500,0.818012451171875,-0.0010710000060498714,-0.0031300000846385956,0.0013170000165700912
1779996509078288400,0.835288330078125,0.0013810000382363796,0.0017740000039339066,-0.0022070000413805246
1779996509095564800,0.852564697265625,0.0012280000373721123,-0.0026539999525994062,-0.0042329998686909676
1779996509112841000,0.869841064453125,0.002251999918371439,-0.0030640000477433205,-0.004265999887138605
1779996509130117400,0.887117431640625,0.0033549999352544546,-0.0031220000237226486,-0.0011980000417679548
1779996509147393800,0.904393798828125,-0.0039900001138448715,-0.0026740001048892736,-0.00018000000272877514
1779996509164670000,0.921669921875,0.0038139999378472567,-0.0014819999923929572,-0.0019529999699443579
1779996509181946400,0.9389462890625,0.008566999807953835,-0.0009350000182166696,-0.0030739998910576105
1779996509207860700,0.96486083984375,-0.017835000529885292,-0.0007130000158213079,-0.00016999999934341758
1779996509225137200,0.98213720703125,0.011404000222682953,-0.0006099999882280827,-0.0005039999959990382
1779996509242413600,0.99941357421875,0.015836000442504883,-0.0009510000236332417,-0.0014459999511018395
1779996509259689700,1.016689697265625,0.022374000400304794,-0.0007110000005923212,-0.00291600008495152
1779996509276966100,1.033966064453125,0.016284000128507614,0.003194000106304884,-0.004674000199884176
1779996509294242300,1.0512421875,-0.0076870000921189785,0.0014440000522881746,-0.002964999992400408
1779996509311518700,1.068518798828125,-0.020820999518036842,-0.000645000021904707,-0.0005450000171549618
1779996509328795100,1.085795166015625,-0.010223999619483948,-0.00019500000053085387,-0.0003229999856557697
1779996509346071300,1.1030712890625,0.0017000000225380063,0.003140999935567379,-0.0001939999929163605
1779996509363347500,1.120347412109375,0.003703000023961067,0.0033760000951588154,-0.00040499999886378646
1779996509380624000,1.137623779296875,0.0028550000861287117,-0.0005310000269673765,0.0008759999764151871
1779996509397900300,1.154900390625,0.0062420000322163105,-0.0009399999980814755,0.0023350000847131014
1779996509415176400,1.172176513671875,0.00045900000259280205,-0.00011600000289035961,0.00367600005120039
1779996509441091000,1.198091064453125,-0.011857000179588795,-0.0011419999646022916,0.004666999913752079
1779996509458367200,1.2153671875,0.021815000101923943,-0.004226999823004007,-0.00030499999411404133
1779996509475643600,1.2326435546875,-0.003765000030398369,-0.0012379999971017241,-0.0033730000723153353
1779996509492919800,1.249919921875,-0.008038000203669071,0.00035600000410340726,-0.0039450000040233135
1779996509510196200,1.2671962890625,-0.018710000440478325,0.00003600000127335079,-0.0027290000580251217
1779996509527472400,1.284472412109375,-0.030350999906659126,-0.004647000227123499,-0.00029200001154094934
1779996509544748800,1.301748779296875,-0.004315000027418137,-0.0034719998948276043,-0.002177000045776367
1779996509562025000,1.31902490234375,0.030956000089645386,-0.002859999891370535,-0.007404000032693148
