time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1779996508482256100,0.239256103515625,0.2043980062007904,0.05449400097131729,-0.014607000164687634,0.9772599935531616,0.11272166669368744,0.006272783502936363,-0.41271722316741943
1779996508499532500,0.256532470703125,0.19980299472808838,0.05351100116968155,-0.01534700021147728,0.9782530069351196,0.11105965822935104,0.008643288165330887,-0.403427392244339
1779996508516809000,0.27380908203125,0.1968739926815033,0.055358998477458954,-0.01411799993366003,0.9787619709968567,0.11417534947395325,0.005838861223310232,-0.39732736349105835
1779996508534085000,0.291085205078125,0.1976570039987564,0.056035999208688736,-0.012260000221431255,0.9785910248756409,0.11477119475603104,0.0018432392971590161,-0.3987051844596863
1779996508551361500,0.308361572265625,0.19422699511051178,0.054850999265909195,-0.0157299991697073,0.979295015335083,0.11379153281450272,0.00950167328119278,-0.39212605357170105
1779996508568637700,0.3256376953125,0.18887799978256226,0.05255100131034851,-0.015398000366985798,0.9804720282554626,0.10908831655979156,0.010343346744775772,-0.381181538105011
1779996508585914000,0.3429140625,0.19596199691295624,0.053484998643398285,-0.01436999998986721,0.9790459871292114,0.11058861017227173,0.0071757882833480835,-0.3954881429672241
1779996508603190300,0.360190185546875,0.19868700206279755,0.05477999895811081,-0.012078999541699886,0.9784560203552246,0.11223520338535309,0.001869392697699368,-0.40078043937683105
1779996508620466700,0.377466796875,0.18937699496746063,0.05408500134944916,-0.015690000727772713,0.980288028717041,0.11222171783447266,0.010276710614562035,-0.3822455406188965
1779996508637742800,0.394742919921875,0.19182899594306946,0.05455699935555458,-0.014946999959647655,0.9797959923744202,0.11288754642009735,0.008358889259397984,-0.3871498107910156
1779996508655019300,0.412019287109375,0.1918250024318695,0.05455499887466431,-0.014977999962866306,0.9797970056533813,0.11289561539888382,0.008420872502028942,-0.3871455788612366
1779996508672295700,0.429295654296875,0.19182099401950836,0.05454999953508377,-0.015039999969303608,0.9797970056533813,0.11290968954563141,0.00854472815990448,-0.38714465498924255
1779996508689571800,0.44657177734375,0.1918260008096695,0.05459199845790863,-0.01495600026100874,0.979794979095459,0.1129598543047905,0.008363396860659122,-0.3871452510356903
1779996508706848300,0.46384814453125,0.19182799756526947,0.054575998336076736,-0.014929000288248062,0.9797959923744202,0.11291799694299698,0.008316435851156712,-0.3871460258960724
1779996508732762600,0.4897626953125,0.19182400405406952,0.05443599820137024,-0.014960999600589275,0.9798039793968201,0.11265511065721512,0.008433531038463116,-0.38714057207107544
1779996508750039000,0.5070390625,0.19182300567626953,0.054333001375198364,-0.015087000094354153,0.97980797290802,0.11250131577253342,0.008720197714865208,-0.3871525824069977
1779996508767315200,0.524315185546875,0.1918260008096695,0.05420999974012375,-0.014971000142395496,0.9798160195350647,0.11221474409103394,0.008539981208741665,-0.38714399933815
1779996508784591600,0.541591552734375,0.1918420046567917,0.05412000045180321,-0.014705000445246696,0.9798210263252258,0.11193512380123138,0.008051645942032337,-0.3871443569660187
1779996508801867800,0.55886767578125,0.19185300171375275,0.053904999047517776,-0.014655999839305878,0.9798319935798645,0.11149372160434723,0.008037249557673931,-0.3871594965457916
1779996508819144200,0.576144287109375,0.19185100495815277,0.05347299948334694,-0.015147999860346317,0.9798489809036255,0.11083466559648514,0.009167935699224472,-0.3872094452381134
1779996508836420400,0.59342041015625,0.19186699390411377,0.05312899872660637,-0.015224999748170376,0.9798629879951477,0.11018837988376617,0.009449566714465618,-0.3872477412223816
1779996508853696800,0.61069677734375,0.1918720006942749,0.05291200056672096,-0.014929000288248062,0.9798780083656311,0.1096474900841713,0.008952654898166656,-0.3872217535972595
1779996508870973000,0.627972900390625,0.19186300039291382,0.05295399948954582,-0.014611000195145607,0.979882001876831,0.10960707813501358,0.00831438135355711,-0.3871671259403229
1779996508888249300,0.645249267578125,0.19186100363731384,0.05291000008583069,-0.0147280003875494,0.9798840284347534,0.10956587642431259,0.008560838177800179,-0.3871764838695526
1779996508905525800,0.66252587890625,0.19187000393867493,0.05284399911761284,-0.014901000075042248,0.9798830151557922,0.10950303822755814,0.008924235589802265,-0.3872140645980835
1779996508922802000,0.679802001953125,0.191881000995636,0.05282700061798096,-0.014984999783337116,0.9798799753189087,0.10950213670730591,0.00909413117915392,-0.3872458040714264
1779996508940078300,0.697078369140625,0.19187800586223602,0.05288499966263771,-0.014998000115156174,0.9798780083656311,0.10962121933698654,0.009097610600292683,-0.38724198937416077
1779996508957354500,0.7143544921875,0.19186699390411377,0.05312599986791611,-0.014952000230550766,0.9798669815063477,0.11007694900035858,0.008915808983147144,-0.3872160017490387
1779996508974631000,0.731630859375,0.19186300039291382,0.05347499996423721,-0.014884999953210354,0.9798499941825867,0.11073703318834305,0.008650494739413261,-0.38720306754112244
1779996508991907000,0.748906982421875,0.19185900688171387,0.05367400124669075,-0.014986000023782253,0.9798380136489868,0.11116714775562286,0.008772137574851513,-0.3872082829475403
1779996509009183500,0.76618359375,0.19186100363731384,0.053745999932289124,-0.01508999988436699,0.9798330068588257,0.11134897917509079,0.008947955444455147,-0.38722535967826843
1779996509026460000,0.7834599609375,0.19185000658035278,0.05376100167632103,-0.015204000286757946,0.9798319935798645,0.1114223524928093,0.009166764095425606,-0.3872162401676178
1779996509043736000,0.800736083984375,0.19184699654579163,0.053814999759197235,-0.01511900033801794,0.9798309803009033,0.11149562150239944,0.008979758247733116,-0.38720065355300903
1779996509061012500,0.818012451171875,0.1918639987707138,0.053787000477313995,-0.01522899977862835,0.9798269867897034,0.11148320138454437,0.009204123169183731,-0.3872477114200592
1779996509078288400,0.835288330078125,0.19187599420547485,0.05383000150322914,-0.015495999716222286,0.9798189997673035,0.11167114228010178,0.009709332138299942,-0.3873041272163391
1779996509095564800,0.852564697265625,0.19187100231647491,0.05383500084280968,-0.015824999660253525,0.9798139929771423,0.11180808395147324,0.01035254541784525,-0.38733258843421936
1779996509130117400,0.887117431640625,0.19186300039291382,0.05380599945783615,-0.015476999804377556,0.9798229932785034,0.11161647737026215,0.009682830423116684,-0.38727518916130066
1779996509147393800,0.904393798828125,0.1918569952249527,0.05386599898338318,-0.015620999969542027,0.9798179864883423,0.11178995668888092,0.009942499920725822,-0.3872802257537842
1779996509164670000,0.921669921875,0.19186300039291382,0.0540120005607605,-0.01569800078868866,0.97980797290802,0.1121068149805069,0.010036411695182323,-0.38730305433273315
1779996509181946400,0.9389462890625,0.19187100231647491,0.054023001343011856,-0.015614000149071217,0.9798070192337036,0.11209603399038315,0.009866679087281227,-0.3873094618320465
1779996509207860700,0.96486083984375,0.19184300303459167,0.05471799895167351,-0.015536000020802021,0.9797750115394592,0.11343175172805786,0.009449179284274578,-0.38724955916404724
1779996509225137200,0.98213720703125,0.19183200597763062,0.0550060011446476,-0.015447000041604042,0.9797629714012146,0.11396344751119614,0.009165102615952492,-0.38721928000450134
1779996509242413600,0.99941357421875,0.19183500111103058,0.05506499856710434,-0.01551000028848648,0.9797580242156982,0.11410379409790039,0.009265437722206116,-0.3872334063053131
1779996509259689700,1.016689697265625,0.19184499979019165,0.05485200136899948,-0.015552000142633915,0.9797670245170593,0.11370138823986053,0.009428650140762329,-0.38725680112838745
1779996509276966100,1.033966064453125,0.19185499846935272,0.05463600158691406,-0.015274999663233757,0.979781985282898,0.11316986382007599,0.008968078531324863,-0.3872424364089966
1779996509294242300,1.0512421875,0.19183699786663055,0.054520998150110245,-0.015128999948501587,0.9797940254211426,0.11288720369338989,0.00872842874377966,-0.38718748092651367
1779996509311518700,1.068518798828125,0.19182699918746948,0.054579999297857285,-0.015127000398933887,0.9797930121421814,0.11300235241651535,0.00870293378829956,-0.38716748356819153
1779996509328795100,1.085795166015625,0.19183500111103058,0.054712001234292984,-0.015176000073552132,0.9797829985618591,0.11328080296516418,0.008747132495045662,-0.387190580368042
1779996509346071300,1.1030712890625,0.19185200333595276,0.0546640008687973,-0.015336999669671059,0.9797800183296204,0.11324883997440338,0.0090791005641222,-0.38724392652511597
1779996509363347500,1.120347412109375,0.1918569952249527,0.05445899814367294,-0.015399999916553497,0.9797890186309814,0.11287020891904831,0.009280956350266933,-0.3872596323490143
1779996509380624000,1.137623779296875,0.1918569952249527,0.054051999002695084,-0.015461999922990799,0.9798110127449036,0.11209417879581451,0.009559310972690582,-0.3872635066509247
1779996509397900300,1.154900390625,0.19183699786663055,0.05356699973344803,-0.015619000419974327,0.979839026927948,0.11120133846998215,0.010056117549538612,-0.38723674416542053
1779996509415176400,1.172176513671875,0.19179099798202515,0.05325999855995178,-0.01579900085926056,0.9798619747161865,0.11066698282957077,0.010532299987971783,-0.3871611952781677
1779996509441091000,1.198091064453125,0.19173599779605865,0.05327099934220314,-0.015560000203549862,0.9798759818077087,0.1105956882238388,0.010065975598990917,-0.387021541595459
1779996509458367200,1.2153671875,0.1916790008544922,0.053610000759363174,-0.01551700010895729,0.97986900806427,0.11124482750892639,0.009857590310275555,-0.3869036138057709
1779996509475643600,1.2326435546875,0.1916079968214035,0.054044000804424286,-0.015577999874949455,0.9798579812049866,0.11212079226970673,0.009818085469305515,-0.3867703080177307
1779996509492919800,1.249919921875,0.19155600666999817,0.05435900017619133,-0.01558000035583973,0.9798510074615479,0.11274030059576035,0.009706726297736168,-0.38666775822639465
1779996509510196200,1.2671962890625,0.19149599969387054,0.05452900007367134,-0.015866000205278397,0.9798489809036255,0.11318431794643402,0.010208573192358017,-0.3865813910961151
1779996509527472400,1.284472412109375,0.19142599403858185,0.05473700165748596,-0.016222000122070312,0.9798449873924255,0.11372985690832138,0.010834135115146637,-0.3864835202693939
1779996509544748800,1.301748779296875,0.19135400652885437,0.054993998259305954,-0.016287999227643013,0.979843020439148,0.11425971984863281,0.010872934013605118,-0.3863474130630493
1779996509562025000,1.31902490234375,0.1912810057401657,0.05512399971485138,-0.016395000740885735,0.9798480272293091,0.11455574631690979,0.011041092686355114,-0.386213093996048
1779996509579301400,1.33630126953125,0.19122600555419922,0.05516799911856651,-0.016495000571012497,0.9798550009727478,0.11468024551868439,0.011226539500057697,-0.3861139118671417
1779996509596577800,1.353577880859375,0.19117499887943268,0.05518199875950813,-0.0164170004427433,0.9798660278320312,0.11467717587947845,0.011074311099946499,-0.38600102066993713
1779996509613854000,1.37085400390625,0.19115200638771057,0.055410999804735184,-0.016109999269247055,0.9798619747161865,0.11500874161720276,0.010387488640844822,-0.38591915369033813
1779996509631130400,1.38813037109375,0.19110499322414398,0.0557279996573925,-0.016047000885009766,0.9798539876937866,0.11560720950365067,0.010147812776267529,-0.38581886887550354
