time,seconds_elapsed,magneticBearing
1779996508497970000,0.254969970703125,340.8902469879085
1779996508518128400,0.27512841796875,340.9340171086358
1779996508538296300,0.29529638671875,340.9553128754966
1779996508558163200,0.3151630859375,340.9980010437087
1779996508578075400,0.335075439453125,340.9980010437087
1779996508598530600,0.355530517578125,341.01939472545473
1779996508618469600,0.3754697265625,341.073487848737
1779996508638206700,0.395206787109375,341.0949763917235
1779996508658043600,0.415043701171875,341.11649675306137
1779996508678256600,0.435256591796875,341.1268522222761
1779996508698099700,0.455099609375,341.1700653744613
1779996508718006300,0.47500634765625,341.2029109196038
1779996508738579000,0.495578857421875,341.21341325833896
1779996508758648000,0.51564794921875,341.2680703255254
1779996508778574000,0.535573974609375,341.25689309603445
1779996508798533400,0.555533447265625,341.2786847089578
1779996508818587100,0.575587158203125,341.25630060348584
1779996508838359600,0.595359619140625,341.25630060348584
1779996508858096600,0.6150966796875,341.19028681453494
1779996508877962500,0.63496240234375,341.17904232308223
1779996508898114300,0.6551142578125,341.2008169530158
1779996508918490600,0.67549072265625,341.1677837216671
1779996508975289600,0.73228955078125,341.21205872604406
1779996509086849300,0.843849365234375,341.1797833486673
1779996509319672600,1.076672607421875,341.1917220786745
1779996509366194400,1.1231943359375,341.1917220786745
1779996509412680000,1.169679931640625,341.18052153249454
1779996509459112700,1.21611279296875,341.2245971193461
1779996509505472800,1.26247265625,341.2686404641342
1779996509551735000,1.308735107421875,341.2686404641342
1779996509597870600,1.35487060546875,341.2797820097702
1779996509643844600,1.4008447265625,341.2797820097702
1779996509689617200,1.4466171875,341.2686404641342
1779996509735141600,1.4921416015625,341.3015227623727
1779996509780365800,1.53736572265625,341.27923357470974
1779996509825232600,1.582232666015625,341.3121638107461
1779996509869675300,1.62667529296875,341.30101732474816
1779996509913624800,1.670624755859375,341.289856874436
1779996509957005000,1.714005126953125,341.2674985338775
1779996509999737300,1.7567373046875,341.25630060348584
1779996510041730000,1.79872998046875,341.25630060348584
1779996510082895400,1.839895263671875,341.2674985338775
1779996510123142000,1.880141845703125,341.223286405122
1779996510162375200,1.919375244140625,341.1460372058206
1779996510200491000,1.957490966796875,341.1130450682143
1779996510237395700,1.994395751953125,341.0357740861599
1779996510272994800,2.029994873046875,340.95847811171825
1779996510307774200,2.064774169921875,340.9141157200629
1779996510341577000,2.098576904296875,340.85827726156947
1779996510404223200,2.16122314453125,340.73633744975916
1779996510432697000,2.189697021484375,340.6918081973047
1779996510483753700,2.240753662109375,346.992320514327
1779996510506291000,2.263291015625,346.99885464290594
1779996510526983700,2.283983642578125,346.94884847050884
1779996510545841400,2.30284130859375,346.9422943804106
1779996510564074000,2.321073974609375,346.9422943804106
1779996510581450500,2.338450439453125,346.9074494679174
1779996510610433000,2.36743310546875,349.33934269519256
1779996510631347000,2.388346923828125,353.2018161392398
1779996510644506600,2.401506591796875,353.18450289992046
1779996510656647400,2.4136474609375,349.2642586552733
1779996510669179400,2.426179443359375,340.05242489539904
1779996510680029200,2.437029296875,339.7682972300773
1779996510692916200,2.449916259765625,339.5449710291283
1779996510702545200,2.459545166015625,339.48030541304223
1779996510725441500,2.482441650390625,339.395546790854
1779996510747010800,2.5040107421875,339.47218849571243
1779996510776722400,2.533722412109375,339.64937228130276
1779996510787247600,2.54424755859375,339.64105503185027
1779996510798194400,2.5551943359375,339.64105503185027
1779996510810740200,2.567740234375,339.64105503185027
1779996510872891100,2.62989111328125,339.7531153715759
1779996511042451500,2.799451416015625,339.67567711516415
1779996511075607000,2.83260693359375,339.63179568312484
1779996511108754700,2.865754638671875,339.5997915736119
1779996511141889300,2.89888916015625,339.61990335453265
1779996511175004400,2.93200439453125,339.6079989341329
1779996511208092200,2.965092041015625,339.5640308025243
1779996511241141500,2.9981416015625,339.49996684440964
1779996511274140200,3.03114013671875,339.4359564055661
1779996511307072500,3.064072509765625,339.37200120434863
1779996511339921700,3.096921630859375,339.3400429233178
1779996511372667000,3.1296669921875,339.3159200640287
1779996511405283300,3.162283447265625,339.32376283766456
1779996511437745400,3.194745361328125,339.3437185691032
1779996511470023400,3.2270234375,339.3316264832373
1779996511502086000,3.2590859375,339.31952208437974
1779996511533895200,3.290895263671875,339.3395094504441
1779996511565413600,3.32241357421875,339.38371954553156
1779996511596601900,3.353601806640625,339.4037665556426
1779996511627413200,3.384413330078125,339.3716312210722
1779996511657803800,3.4148037109375,339.39168137648585
